id;title;start_date;end_date;start_time;end_time;color;is_all_day;recurring_day
1;Tuna integrated deposit;2021-05-14T04:27:19;2021-05-14T06:11:43;BEAC payment THX;Awesome Fresh USB;ivory;false;Bedfordshire
2;architectures Tools;2021-05-14T08:40:21;2021-05-14T00:13:30;stable Chicken;contingency Corporate connecting;ivory;false;indexing Accounts Administrator
3;Ergonomic payment;2021-05-13T17:39:25;2021-05-13T21:12:05;copy robust;Representative;orange;true;withdrawal withdrawal
4;Garden;2021-05-14T12:05:43;2021-05-14T12:52:15;Lats;Bedfordshire deposit;mint green;true;Account Fresh
5;Bike;2021-05-14T05:40:39;2021-05-14T12:32:49;PCI Cuban Fresh;Table Kids;orchid;true;function
6;Account Organic Direct;2021-05-14T14:56:58;2021-05-14T13:27:59;Sleek American;Hill Prairie;lime;false;North
7;Steel Salad Georgia;2021-05-14T02:01:09;2021-05-14T00:41:58;SSL panel Tools;PCI e-enable Principal;yellow;false;Koruna purple optical
8;Sleek Electronics;2021-05-14T05:43:59;2021-05-14T13:44:53;Progressive Cambridgeshire;green open-source;mint green;true;program
9;invoice;2021-05-14T14:39:37;2021-05-14T02:24:10;local;Rubber optimal;magenta;false;Identity
10;model;2021-05-14T13:53:38;2021-05-14T03:17:43;zero;Electronics embrace;red;true;Market asynchronous payment
